trial,method,weight_weather_risk_score,weight_spatial_risk_score,train_accuracy,train_precision,train_recall,train_f1,train_positive_rate,train_selected_count,train_proxy_total,train_captured_proxy_count,train_top_rate,train_threshold,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_positive_rate,valid_selected_count,valid_proxy_total,valid_captured_proxy_count,valid_top_rate,valid_threshold
225,optuna,0.5682173572825008,0.4317826427174992,0.5791,0.44566666666666666,0.3443214009786248,0.3884933895103879,0.3,3000,3883,1337,0.3,0.5264783241231562,0.6959,0.008333333333333333,0.27472527472527475,0.016175994823681657,0.3,3000,91,25,0.3,0.5264783241231562
37,optuna,0.6235183239766964,0.3764816760233036,0.5789,0.44533333333333336,0.34406386814318823,0.38820281853842803,0.3,3000,3883,1336,0.3,0.5161444307364094,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5161444307364094
148,optuna,0.6238173870459317,0.3761826129540682,0.5787,0.445,0.34380633530775173,0.3879122475664681,0.3,3000,3883,1335,0.3,0.5160818151417648,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5160818151417648
163,optuna,0.6253081372498198,0.37469186275018007,0.5787,0.445,0.34380633530775173,0.3879122475664681,0.3,3000,3883,1335,0.3,0.5156665480022649,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5156665480022649
51,optuna,0.5673932527062172,0.4326067472937828,0.5787,0.445,0.34380633530775173,0.3879122475664681,0.3,3000,3883,1335,0.3,0.5266288056426515,0.6957,0.008,0.26373626373626374,0.01552895503073439,0.3,3000,91,24,0.3,0.5266288056426515
115,optuna,0.6106583583384146,0.38934164166158525,0.5785,0.44466666666666665,0.34354880247231523,0.3876216765945082,0.3,3000,3883,1334,0.3,0.5196947931024065,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5196947931024065
177,optuna,0.6098560550406924,0.3901439449593076,0.5785,0.44466666666666665,0.34354880247231523,0.3876216765945082,0.3,3000,3883,1334,0.3,0.5199087857944136,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5199087857944136
253,optuna,0.6166853894140548,0.3833146105859453,0.5785,0.44466666666666665,0.34354880247231523,0.3876216765945082,0.3,3000,3883,1334,0.3,0.5180350514057106,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5180350514057106
267,optuna,0.6106065570066531,0.38939344299334694,0.5785,0.44466666666666665,0.34354880247231523,0.3876216765945082,0.3,3000,3883,1334,0.3,0.5197096168815964,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5197096168815964
271,optuna,0.6269796167491586,0.37302038325084136,0.5785,0.44466666666666665,0.34354880247231523,0.3876216765945082,0.3,3000,3883,1334,0.3,0.5152491556572618,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5152491556572618
132,optuna,0.6123192142708527,0.3876807857291474,0.5781,0.444,0.34303373680144217,0.3870405346505884,0.3,3000,3883,1332,0.3,0.5192377004630743,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5192377004630743
168,optuna,0.6274669138412459,0.372533086158754,0.5781,0.444,0.34303373680144217,0.3870405346505884,0.3,3000,3883,1332,0.3,0.5151639888765235,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5151639888765235
192,optuna,0.6151698448702523,0.3848301551297477,0.5781,0.444,0.34303373680144217,0.3870405346505884,0.3,3000,3883,1332,0.3,0.5184838855703771,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5184838855703771
